"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Azerbaijan,"792,832",+12,"9,714 ",,"783,019",,99,,"76,852",942,"6,901,005","668,938","10,316,367 ",Asia
Saudi Arabia,"776,137",+932,"9,167 ",+2,"758,188",+659,"8,782",99,"21,640",256,"42,854,570","1,194,885","35,865,028 ",Asia
Sri Lanka,"663,922",+5,"16,518 ",,"646,977",+2,427,,"30,755",765,"6,486,117","300,460","21,587,315 ",Asia
Paraguay,"652,044",+776,"18,932 ",+21,"624,673",,"8,439",2,"89,292","2,593","2,646,163","362,369","7,302,407 ",South America
Kuwait,"635,045",,"2,555 ",,"630,839",,"1,651",9,"144,558",582,"8,138,583","1,852,617","4,393,020 ",Asia
Myanmar,"613,427",+12,"19,434 ",,"592,401",+7,"1,592",,"11,130",353,"8,264,553","149,946","55,116,992 ",Asia
Bahrain,"593,654","+1,964","1,489 ",,"585,287","+1,107","6,878",4,"326,864",820,"9,898,981","5,450,353","1,816,209 ",Asia
Dominican Republic,"590,058",+537,"4,380 ",,"581,799",,"3,879",17,"53,356",396,"3,394,315","306,933","11,058,826 ",North America
Palestine,"582,495",,"5,356 ",,"576,993",,146,17,"109,259","1,005","3,078,533","577,445","5,331,299 ",Asia
Estonia,"577,655",,"2,574 ",,"520,451",,"54,630",5,"434,895","1,938","3,386,999","2,549,944","1,328,264 ",Europe
Venezuela,"524,152",+67,"5,723 ",+1,"517,339",+9,"1,090",230,"18,535",202,"3,359,014","118,778","28,279,772 ",South America
Moldova,"519,001",,"11,544 ",,"504,142",,"3,315",49,"129,240","2,875","3,216,305","800,915","4,015,790 ",Europe
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,861",232,"3,693,367","34,818","106,076,269 ",Africa
Libya,"502,040",,"6,430 ",,"490,973",,"4,637",101,"71,187",912,"2,477,219","351,257","7,052,450 ",Africa
Cyprus,"491,777",,"1,067 ",,"124,370",,"366,340",60,"401,647",871,"9,477,138","7,740,230","1,224,400 ",Asia
Ethiopia,"477,742",+736,"7,516 ",,"456,587",+95,"13,639",22,"3,965",62,"4,975,718","41,298","120,483,622 ",Africa
Honduras,"425,564",,"10,902 ",,"132,430",,"282,232",105,"41,681","1,068","1,385,329","135,683","10,210,020 ",North America
Armenia,"423,006",,"8,629 ",,"412,661",,"1,716",,"142,236","2,901","3,109,931","1,045,713","2,973,980 ",Asia
Réunion,"418,585",,796 ,,"415,360",,"2,429",10,"461,149",877,"1,603,660","1,766,729","907,700 ",Africa
Oman,"389,758",,"4,260 ",,"384,669",,829,2,"72,738",795,"25,000,000","4,665,591","5,358,378 ",Asia
Bosnia and Herzegovina,"378,083",+14,"15,793 ",+1,N/A,N/A,N/A,,"116,647","4,872","1,782,014","549,789","3,241,270 ",Europe
Qatar,"371,585",+338,677 ,,"368,577",+199,"2,331",,"132,340",241,"3,579,155","1,274,716","2,807,805 ",Asia
Kenya,"326,449",+232,"5,651 ",,"319,325",+117,"1,473",,"5,822",101,"3,695,448","65,911","56,067,375 ",Africa
Zambia,"323,058",+139,"3,989 ",+1,"318,016",+151,"1,053",,"16,668",206,"3,504,021","180,788","19,381,921 ",Africa
North Macedonia,"312,538",+65,"9,316 ",+3,"302,807",+78,415,,"150,027","4,472","2,055,472","986,686","2,083,208 ",Europe
Botswana,"310,431",,"2,701 ",,"304,887",,"2,843",1,"127,034","1,105","2,026,898","829,446","2,443,676 ",Africa
Albania,"276,638",+55,"3,497 ",,"272,845",+76,296,2,"96,332","1,218","1,834,223","638,722","2,871,706 ",Europe
Algeria,"265,925",+5,"6,875 ",,"178,435",+3,"80,615",6,"5,859",151,"230,861","5,087","45,386,174 ",Africa
Nigeria,"256,264",,"3,144 ",,"250,117",,"3,003",11,"1,186",15,"5,198,572","24,063","216,043,472 ",Africa
Zimbabwe,"254,031",+132,"5,518 ",+1,"246,213",+173,"2,300",12,"16,622",361,"2,353,210","153,982","15,282,408 ",Africa
Luxembourg,"251,873",,"1,084 ",,"245,443",,"5,346",,"390,064","1,679","4,275,297","6,620,956","645,722 ",Europe
Uzbekistan,"239,203",+21,"1,637 ",,"237,386",+11,180,23,"6,952",48,"1,377,915","40,044","34,409,639 ",Asia
Montenegro,"237,793",+56,"2,722 ",+1,"234,619",+65,452,6,"378,519","4,333","2,483,318","3,952,943","628,220 ",Europe
Mozambique,"226,325",+92,"2,206 ",,"223,660",+32,459,13,"6,868",67,"1,334,039","40,483","32,952,776 ",Africa
Laos,"210,129",+9,757 ,,N/A,N/A,N/A,,"28,091",101,"1,233,207","164,862","7,480,250 ",Asia
Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,852",444,"1,907,195","283,266","6,732,880 ",Asia
Iceland,"189,319",,153 ,,N/A,N/A,N/A,1,"547,898",443,"1,953,943","5,654,801","345,537 ",Europe
Martinique,"182,791",,943 ,,104,,"181,744",8,"487,832","2,517","828,928","2,212,239","374,701 ",North America
Afghanistan,"180,864",+80,"7,709 ",,"163,215",,"9,940","1,124","4,452",190,"971,529","23,913","40,627,870 ",Asia
Maldives,"179,837",,299 ,,"163,687",,"15,851",25,"321,711",535,"2,213,831","3,960,335","559,001 ",Asia
